"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2010,4013,"Maricopa County, AZ",3.2,25,2,0.079,9.2,39,5723.51,59119.2131269333
2010,4019,"Pima County, AZ",1.3,12,1,0.069,5.2,30,5565.28,51930.9715022857
2010,5119,"Pulaski County, AR",1.6,10,2,0.073,12.6,23,5878.29,52446.8459623811
2010,6001,"Alameda County, CA",1.7,16,1,0.074,7.8,20,5713.8,78479.7471259228
2010,6013,"Contra Costa County, CA",0.9,8,1,0.078,7.1,18,7340.89,86383.1783429754
2010,6019,"Fresno County, CA",2,13,1,0.099,14.6,28,4709.89,52606.2980682288
2010,6023,"Humboldt County, CA",0.8,3,1,0.045,5.6,18,5369.02,44850.5945374763
2010,6025,"Imperial County, CA",4.4,14,0,0.078,12.2,37,4278.16,46031.2435859219
2010,6037,"Los Angeles County, CA",3.6,26,1,0.09,12.6,33,5512.09,61664.5846107222
2010,6059,"Orange County, CA",1.9,17,1,0.071,10.2,22,6581.7,82923.3021344719
2010,6065,"Riverside County, CA",1.8,17,1,0.099,15.2,43,6023.08,63289.5891600227
2010,6067,"Sacramento County, CA",1.9,12,0,0.096,8.7,21,5265.69,61734.9311280079
2010,6071,"San Bernardino County, CA",1.6,23,1,0.109,13,34,4963.44,61283.5409754245
2010,6073,"San Diego County, CA",2.4,21,2,0.081,10.8,46,6312.56,70063.9587746392
2010,6085,"Santa Clara County, CA",1.8,14,0,0.08,8.8,18,5626.87,99220.2453056676
2010,6095,"Solano County, CA",1.9,9,1,0.07,7.7,12,6455.23,73802.8761683761
2010,8031,"Denver County, CO",2.4,28,2,0.069,7.8,28,5524.1,53246.451375529
2010,9001,"Fairfield County, CT",1.7,10,2,0.084,9.1,16,7837.81,87504.0328517281
2010,9009,"New Haven County, CT",1.6,14,1,0.079,9.2,18,8073.59,66911.2623582834
2010,11001,"District of Columbia",3.1,18,3,0.086,11.4,22,10619.7,71201.2274707586
2010,12011,"Broward County, FL",1.6,7,0,0.062,7,15,7630.36,56179.9011463442
2010,12031,"Duval County, FL",1.9,9,1,0.068,9.4,22,5973.38,54063.6434179983
2010,12057,"Hillsborough County, FL",0.9,6,3,0.072,8.1,22,5538.77,53982.7449231197
2010,12086,"Miami-Dade County, FL",1.4,10,0,0.069,8,24,4561.81,47067.6822739318
