"Year","ID","Name","Median.Household.Income.","X90..Confidence.Interval"
2010,0,"United States","50,046","49,982 to 50,110"
2011,0,"United States","50,502","50,429 to 50,575"
2012,0,"United States","51,371","51,318 to 51,424"
2013,0,"United States","52,250","52,185 to 52,315"
2014,0,"United States","53,657","53,564 to 53,750"
2015,0,"United States","55,775","55,690 to 55,860"
2016,0,"United States","57,617","57,502 to 57,732"
2017,0,"United States","60,336","60,250 to 60,422"
2018,0,"United States","61,937","61,843 to 62,031"
2019,0,"United States","65,712","65,594 to 65,830"
2010,1000,"Alabama","40,538","40,081 to 40,995"
2011,1000,"Alabama","41,427","40,894 to 41,960"
2012,1000,"Alabama","41,610","41,143 to 42,077"
2013,1000,"Alabama","42,882","42,260 to 43,504"
2014,1000,"Alabama","42,917","42,335 to 43,499"
2015,1000,"Alabama","44,833","44,110 to 45,556"
2016,1000,"Alabama","46,309","45,650 to 46,968"
2017,1000,"Alabama","48,193","47,451 to 48,935"
2018,1000,"Alabama","49,881","49,123 to 50,639"
2019,1000,"Alabama","51,771","51,179 to 52,363"
2010,1073,"Jefferson County","41,740","40,644 to 42,836"
2011,1073,"Jefferson County","42,053","41,075 to 43,031"
2012,1073,"Jefferson County","43,967","42,078 to 45,856"
2013,1073,"Jefferson County","45,024","43,476 to 46,572"
2014,1073,"Jefferson County","44,852","43,110 to 46,594"
2015,1073,"Jefferson County","48,415","46,408 to 50,422"
2016,1073,"Jefferson County","50,109","48,766 to 51,452"
2017,1073,"Jefferson County","50,731","49,512 to 51,950"
2018,1073,"Jefferson County","55,013","53,290 to 56,736"
2019,1073,"Jefferson County","54,127","51,853 to 56,401"
2010,2000,"Alaska","63,456","62,061 to 64,851"
2011,2000,"Alaska","65,699","64,147 to 67,251"
2012,2000,"Alaska","66,503","65,013 to 67,993"
2013,2000,"Alaska","70,058","68,425 to 71,691"
2014,2000,"Alaska","70,898","69,423 to 72,373"
2015,2000,"Alaska","73,391","71,522 to 75,260"
2016,2000,"Alaska","76,144","74,375 to 77,913"
2017,2000,"Alaska","74,058","72,099 to 76,017"
2018,2000,"Alaska","74,912","73,075 to 76,749"
2019,2000,"Alaska","77,203","74,942 to 79,464"
2010,2090,"Fairbanks North Star Borough","60,472","57,410 to 63,534"
2011,2090,"Fairbanks North Star Borough","64,396","60,499 to 68,293"
2012,2090,"Fairbanks North Star Borough","63,979","59,625 to 68,333"
2013,2090,"Fairbanks North Star Borough","67,204","63,486 to 70,922"
2014,2090,"Fairbanks North Star Borough","67,801","63,029 to 72,573"
2015,2090,"Fairbanks North Star Borough","70,881","66,238 to 75,524"
2016,2090,"Fairbanks North Star Borough","73,427","67,591 to 79,263"
2017,2090,"Fairbanks North Star Borough","74,241","68,171 to 80,311"
2018,2090,"Fairbanks North Star Borough","74,268","69,294 to 79,242"
2019,2090,"Fairbanks North Star Borough","74,076","67,826 to 80,326"
2010,4000,"Arizona","46,787","46,278 to 47,296"
2011,4000,"Arizona","46,710","46,173 to 47,247"
2012,4000,"Arizona","47,796","47,213 to 48,379"
2013,4000,"Arizona","48,504","47,932 to 49,076"
2014,4000,"Arizona","50,036","49,561 to 50,511"
2015,4000,"Arizona","51,473","51,046 to 51,900"
2016,4000,"Arizona","53,481","52,863 to 54,099"
2017,4000,"Arizona","56,508","55,999 to 57,017"
2018,4000,"Arizona","59,079","58,366 to 59,792"
